"","scores","predscores","tmhalfsc","opphalfsc","airya","yaca","airyd","yac","psd","patt","comppct","ryd","ratt","rushsd","ypr","int_pct","sack_pct","sack_yd_pct","fum_pct"
"1",16,24.75,6,13,2.89473684210526,3.84210526315789,55,73,9.68853800090815,19,0.578947368421053,12,8,3.04138126514911,1.5,0.105263157894737,0.0952380952380952,-0.523809523809524,0
"2",38,24.75,10,7,4.28,2.72,107,68,5.77135978344792,25,0.64,44,13,2.46634146798175,3.38461538461538,0,0.0384615384615385,-0.230769230769231,0.0256410256410256
"3",20,17.75,13,10,2.63636363636364,1.63636363636364,29,18,5.79936660862413,11,0.636363636363636,52,15,4.31843593085377,3.46666666666667,0,0.153846153846154,-0.769230769230769,0.0714285714285714
"4",7,24.75,0,10,1.33333333333333,4.13333333333333,20,62,5.4735728733616,15,0.666666666666667,22,10,4.04474968323134,2.2,0,0,0,0.04
"5",14,25.5,7,6,4.04761904761905,4.28571428571429,85,90,9.14087280053473,21,0.714285714285714,41,15,3.23453585885552,2.73333333333333,0.0476190476190476,0.0454545454545455,-0.318181818181818,0.027027027027027
"6",45,32,28,10,7.81818181818182,1.72727272727273,172,38,9.20512764713233,22,0.727272727272727,57,15,3.58143360495021,3.8,0.0454545454545455,0,0,0
"7",23,21.5,17,7,4.375,4.25,70,68,8.52936105461599,16,0.75,83,19,5.59332803968771,4.36842105263158,0,0.0588235294117647,-0.470588235294118,0.0555555555555556
"8",28,24,14,0,2.08333333333333,4.375,50,105,4.97140259383607,24,0.666666666666667,45,15,2.42212028327799,3,0.0833333333333333,0,0,0.0256410256410256
"9",25,30.5,10,14,3.40909090909091,3.81818181818182,75,84,7.76732649930113,22,0.590909090909091,73,17,3.52745043542705,4.29411764705882,0.0454545454545455,0.0434782608695652,-0.434782608695652,0
"10",20,16.5,10,10,4.17647058823529,2.35294117647059,71,40,7.07879756738388,17,0.470588235294118,106,22,3.89214084156503,4.81818181818182,0.0588235294117647,0,0,0.0256410256410256
"11",33,23,20,14,4.61538461538461,1.92307692307692,60,25,11.4951680670136,13,0.461538461538462,136,20,6.77200118133481,6.8,0,0,0,0.0303030303030303
"12",17,17.75,7,7,2.75,2.85,55,57,5.56776436283002,20,0.7,18,6,5.44671154612273,3,0,0,0,0
"13",31,24.25,17,20,1.78947368421053,3.63157894736842,34,69,7.95047168412038,19,0.526315789473684,78,15,7.68721882954644,5.2,0.105263157894737,0,0,0.0294117647058824
"14",27,20.75,10,6,2.22222222222222,2.22222222222222,60,60,11.2529151411336,27,0.407407407407407,53,13,3.64715987419375,4.07692307692308,0,0,0,0.025
"15",13,17.5,10,7,1.625,5.375,13,43,5.87839736284947,8,0.75,98,23,5.10087282645651,4.26086956521739,0.125,0,0,0
"16",24,24.75,21,21,3.2,2.93333333333333,48,44,7.56637297521078,15,0.533333333333333,40,12,2.92498812913071,3.33333333333333,0,0.117647058823529,-1.17647058823529,0.0344827586206897
"17",10,20.75,3,3,1.5,2.25,30,45,5.63782972135042,20,0.55,108,21,4.68315842024543,5.14285714285714,0,0,0,0
